"","country","public_debt_bip","trend_pdb","public_debt_state_rev","trend_pdsr","foreign_debt_bip","trend_fdp","foreign_debt_exp","trend_fde","external_debt_service_exp","trend_edse","risk_excessive_debt","exceedance","debt_situation","tendency","income","trend","region","region_large","public_debt_bip2","public_debt_state_rev2","foreign_debt_bip2","foreign_debt_exp2","external_debt_service_exp2"
"109","ARM",53.5,1,252.2,1,85.9,1,182.4,0,27,-1,0,8,2,2,"UM",1,"Western Asia","Middle East",1,1,3,1,2
"110","AZE",54,1,154.9,1,39.1,1,72.1,1,10.7,0,0,1,1,4,"UM",1,"Western Asia","Middle East",1,0,0,0,0
"111","BIH",39.5,-1,93,0,79.8,0,184.8,-1,15.6,0,0,4,1,-2,"UM",-1,"Southern Europe","Europe",0,0,2,1,1
"112","GEO",44.9,1,154.4,1,109.8,1,181.3,1,29.4,1,0,6,2,5,"LM",1,"Western Asia","Middle East",0,0,3,1,2
"113","KAZ",20.8,1,110.6,1,118.4,1,287.1,1,47.9,1,0,8,2,5,"UM",1,"Central Asia","Asia",0,0,3,2,3
"114","KGZ",56,1,163.4,1,111.2,1,313.3,1,29.9,1,1,9,2,5,"LM",1,"Central Asia","Asia",1,0,3,3,2
"115","MKD",39.2,1,135.6,1,78.9,1,133.6,0,13.7,-1,0,2,1,2,"UM",1,"Southern Europe","Europe",0,0,2,0,0
"116","MDA",31.5,1,104.4,1,80.7,1,175.1,1,10.7,-1,0,4,1,3,"LM",1,"Eastern Europe","Europe",0,0,3,1,0
"117","MNE",67.2,1,164.4,1,64.4,0,134.5,0,13.4,-1,0,3,1,1,"UM",1,"Southern Europe","Europe",1,0,2,0,0
"118","SRB",62.5,0,141.5,-1,89.6,0,153.5,-1,22,-1,0,6,2,-3,"UM",-1,"Southern Europe","Europe",1,0,3,1,1
"119","TJK",50.4,1,170,1,71.3,1,216.2,1,26.1,1,2,6,2,5,"L",1,"Central Asia","Asia",1,0,2,1,2
"120","TUR",28.3,0,90.7,0,54.1,1,211.4,1,40.2,1,0,5,2,3,"UM",1,"Western Asia","Middle East",0,0,1,1,3
"121","UKR",71,1,180.7,1,98.4,1,179.3,0,20.7,-1,0,6,2,2,"LM",1,"Eastern Europe","Europe",1,0,3,1,1
"122","BLR",53.4,1,137.3,1,75.6,1,105.7,1,11.8,1,0,3,1,5,"UM",1,"Eastern Europe","Europe",1,0,2,0,0
